gene	PValue
9625	0.942208763397985
19	0.50589816744939
24	0.979205177935126
20	0.303944953026795
22	0.986209080194465
9619	0.171962856018521
10006	0.680849845536848
25	0.141542895063009
27	0.275800788798802
33	0.0939432542205563
34	0.351885931932508
37	0.668199783132053
35	0.769633105702056
9197	0.9735466577484
40	0.760052726279043
41	0.187128871602552
1636	0.811066801859023
43	0.963214766352461
389152	0.887330600955249
23499	0.887330600955249
48	0.26369806229583
50	0.255325655005291
51	0.222350882891611
52	0.445839785166812
53	0.316222234533584
40	0.947245341882713
54	0.947245341882713
1137	0.805658938839789
1139	0.905222245530722
1140	0.784593359729007
1141	0.821766991728892
58	0.819733606563816
60	0.206106722953494
71	0.625615993345948
88	0.310915662254335
59	0.910701428565882
90	0.757123820847036
91	0.497728081229377
92	0.887319298356052
93	0.445866532888171
94	0.376356847886563
443	0.238643920493442
102	0.781521089219515
4185	0.641894145803898
8751	0.501352340830948
6868	0.637984973990034
53616	0.927448430321536
8754	0.24428646458405
9510	0.504491799043545
112	0.764485118841357
114	0.835792857290703
115	0.979262382727114
117	0.326675378986954
118	0.540821430005449
119	0.742308088620772
123	0.718942615275757
126	0.94406644481197
128	0.367781982652639
132	0.444036258045894
133	0.849259039743265
11318	0.346439733817918
134	0.505643675703566
135	0.43470240368379
136	0.56335278007264
141	0.707897751149241
142	0.382664657317228
10038	0.742868483086467
147	0.36212530469001
148	0.762990660475408
150	0.41265010830038
152	0.534400668148705
153	0.224222490439363
158	0.411741093450429
122622	0.765968049943209
159	0.865479347580696
165	0.0010534693179247
121536	0.712980237026386
175	0.820694806257567
177	0.904274122827368
284	0.378388929041056
285	0.895081706008504
375790	0.681123705431367
2717	0.928268707712319
183	0.435563032368496
57085	0.447133893762328
196	0.559531332580055
199	0.00681502305689706
9049	0.500287568749759
203	0.635941565606703
204	0.708850468774369
205	0.846601407359372
8165	0.450667527661055
249	0.32298110395311
207	0.43795741244729
208	0.73378469545557
211	0.575033731158262
214	0.131366699607686
215	0.304326953805863
216	0.813604146237191
217	0.191614850998037
224	0.608640615146913
226	0.756993350336391
230	0.905088064853644
231	0.894508014756041
242	0.188515885703067
247	0.80560943883456
2671	0.854074220858387
257	0.214060543284399
60529	0.261437181515719
262	0.989016798867881
272	0.497770785050959
56172	0.668776242367066
288	0.839573816990524
51479	0.871102264930696
54490	0.731046517270075
8125	0.731046517270075
23519	0.731046517270075
291	0.801077658334415
292	0.258551815832954
311	0.928908720922656
306	0.598669416840757
307	0.809969551435612
308	0.309683499720717
309	0.523589140436688
310	0.158112334199072
653145	0.291589486890005
728113	0.291589486890005
244	0.291589486890005
10935	0.534680888417257
9588	0.0932249865412712
316	0.331363893279218
162	0.595874770355242
164	0.306132437934264
8906	0.677961561075383
8907	0.714401655107493
1174	0.737108601818698
160	0.402495860163586
161	0.551516458355559
1173	0.633596776934634
8546	0.415274512864172
8120	0.719007594486125
8943	0.0499147875969349
1176	0.638549763306192
10239	0.424129238067939
9179	0.971939380593167
11154	0.337200439389254
317	0.654399754076783
321	0.0886716320889319
322	0.726862117815788
323	0.37745237573642
324	0.0124130038675609
10290	0.692991949677598
328	0.977282392676321
9474	0.207529464342663
330	0.746370717307973
329	0.213960589019011
331	0.539460810298118
8539	0.458349173859382
333	0.0725730993639969
334	0.126329505924727
335	0.646261854709145
339	0.48845358467263
10930	0.589118690546465
100130967	0.435323939535923
643355	0.578904436608386
347	0.170735674185025
348	0.057470909688868
7026	0.187675785659156
351	0.852080550987402
353	0.745402552887235
358	0.799112661619437
361	0.560323089594011
9716	0.371270295561593
367	0.779730987945121
369	0.706066055354702
23237	0.688233974077437
375	0.582219086116862
6652	0.399199700463185
377	0.0910563166540474
378	0.514292861867992
381	0.299135396448035
382	0.524463159632777
387	0.37473407933339
388	0.671521285337607
389	0.692928074218635
29984	0.6890786278289
394	0.594344880533084
395	0.192165841955354
397	0.890327569314073
8153	0.923854949328502
10124	0.640628157130969
405	0.755155249795713
9915	0.614647202828315
406	0.402505464923673
10095	0.69417014319789
421	0.5669964612689
170302	0.179019993286592
411	0.196610971753949
410	0.440287883707699
427	0.930891526637873
432	0.384950222649329
5873	0.206019983243548
445	0.86985367748022
460	0.199123418090625
463	0.794785227029862
11101	0.311917210485627
466	0.24167631501906
1386	0.786247366782426
467	0.395190996757896
468	0.381828967303627
472	0.935509192448925
63974	0.963052005487523
475	0.467312365772687
476	0.845083810580082
481	0.870401852712867
482	0.0747685436929423
483	0.357657280586471
488	0.504344911780347
491	0.715893203108338
498	0.602533024014116
506	0.365358685761278
509	0.223870808902493
515	0.417818740339426
516	0.346582013784002
522	0.532147956856827
521	0.337368940683097
40	0.337368940683097
523	0.140919721051422
526	0.0604276855166488
9114	0.606322764416487
529	0.790222554644659
8992	0.602574590775422
535	0.798591868651834
538	0.329571362908437
540	0.0554729046695328
10396	0.710078382135897
10079	0.776026593889705
93974	0.701497938241094
527	0.495786032029894
6541	0.265784961299481
6542	0.515184892095982
8455	0.418891011572545
3184	0.286134122909931
549	0.460108968256751
550	0.844792843773174
8312	0.942663437310254
8313	0.204767651823269
22994	0.792925278211583
567	0.342770962168539
571	0.259850339409047
60468	0.373924102044748
572	0.289114322017975
573	0.99222950991809
581	0.56674508951761
63827	0.0164486831436833
55973	0.857211023680657
11331	0.756545783550347
586	0.270771683678333
587	0.344803311428214
593	0.476753832554822
594	0.871740434543076
10295	0.745974803504932
8915	0.314228850847448
596	0.924665948911245
598	0.462000681406903
599	0.330305684326603
602	0.000212532848331296
604	0.92842669189491
9275	0.578964505560293
9274	0.884424842902148
611	0.365938991030905
624	0.78633725966505
627	0.379950950425505
10282	0.297674474140135
84707	0.523574636638544
55859	0.523574636638544
631	0.261821254881737
2720	0.936599793582258
633	0.974347050399258
635	0.462369125811256
636	0.452434394989818
637	0.591274946079982
40	0.294849824687671
10018	0.672175262530091
2173	0.896454752377316
641	0.167498761866722
648	0.577690581762964
100532731	0.577690581762964
649	0.337674257213566
650	0.968892123672173
652	0.241609515158058
654	0.646511830619123
655	0.00612000566659204
657	0.96482017645373
658	0.987183599094944
659	0.664779089331776
663	0.97579574180981
664	0.877113046957541
665	0.272999113276814
150572	0.588143153138249
669	0.524437323913056
672	0.764795600683364
675	0.783816116168896
677	0.954731234763017
678	0.00031716524586317
57448	0.114304959542391
53344	0.626496253929462
682	0.754377994109287
8927	0.812109364502807
685	0.877998813612219
688	0.616426174336536
694	0.802966943602541
7832	0.174388847885202
10950	0.953042103375081
8945	0.920337728136651
701	0.809678872426556
9184	0.260020616897908
23412	0.386910704310742
706	0.290407057533655
710	0.195103425640292
712	0.00375239734968916
713	0.00239000604633788
708	0.960118426816267
714	0.000344012969689059
717	0.687377278834686
718	0.45981378852997
720	0.167362300131952
10525	0.660167614340838
51719	0.642123121725513
773	0.948391734509192
775	0.81646468598115
776	0.665357547713575
777	0.923412822555964
8913	0.323675969796944
781	0.510906167917648
55799	0.684081672296448
782	0.260663970813933
783	0.39555079455596
784	0.772241763491813
785	0.410955647829179
10369	0.298875565135187
27101	0.588042315851099
9601	0.756351683000882
780	0.472091279067135
302	0.619766788225468
793	0.7605952528225
794	0.585880672706734
375190	0.455443012322838
805	0.733876481079417
375190	0.733876481079417
375190	0.764350208923768
811	0.399917733540799
767	0.704956767695145
813	0.248476501785091
815	0.666164317466218
816	0.568894629361918
818	0.747403878259089
814	0.915052868207721
819	0.755896652267738
821	0.726615315545786
10487	0.461115762036713
822	0.108373224530083
823	0.986002204569204
824	0.0312027254273194
825	0.717486083436293
826	0.621053310030914
726	0.790869453069157
827	0.886675494377517
23473	0.840802102983589
829	0.135284980573358
830	0.283578391623433
832	0.659904067913709
770	0.794848186202044
760	0.102694184819814
761	0.677595183428997
762	0.516713219152684
766	0.514060462913884
847	0.314445575533371
8573	0.23129960064164
834	0.200887400603758
8837	0.728477692850543
100506742	0.728477692850543
